Index,Output,Golden,input_text,output_text,label_space,label_verbalizer,verbalized_label
3250,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: The Swiss and the Filipino hostages had been freed earlier by the militants , but the Abu Sayyaf held on to Vagni for [months] , entering into on-and-off negotiations for [his] release while government troops maintained the military pressure on the gunmen . Options: A. [his] has the age [months] B. [his] has birthday on [months] C. [his] died in the date [months] D. [his] has no known relations to [months]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",no_relation
3251,E,E,"Determine which option can be inferred from the given Sentence.  Sentence: Car company Astra International gained 350 to 26,100 , Astra Agro added 400 to 24,450 , coal giant [Bumi Resources] grew 50 to 5,750 and cement maker [Semen Gresik] also gained 250 to 5,500 . Options: A. [Semen Gresik] is also known as [Bumi Resources] B. [Semen Gresik] has the member [Bumi Resources] C. [Semen Gresik] is the member of [Bumi Resources] D. [Semen Gresik] has shares hold in [Bumi Resources] E. [Semen Gresik] has no known relations to [Bumi Resources]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",no_relation
3252,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: John Koldowski , head of the [PATA] strategy and information center , said there were about 500 million in-bound tourists in the Asia - Pac region in 2006 , including [30 million] Chinese tourists . Options: A. [PATA] has the number of employees [30 million] B. [PATA] has the website [30 million] C. [PATA] has no known relations to [30 million]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:number_of_employees/members', 'B': 'org:website', 'C': 'no_relation'}",no_relation
3253,E,E,Determine which option can be inferred from the given Sentence.  Sentence: [Now] it is possible that Chris Bollyn is inserting his own anti-semetic views into [his] review and Mr. Stanish makes no mention of Israel in his book . Options: A. [his] died in the date [Now] B. [his] has birthday on [Now] C. [his] has the age [Now] D. [his] died because of [Now] E. [his] has no known relations to [Now]  Which option can be inferred from the given Sentence? Option:,E,"['A', 'B', 'C', 'D', 'E']","{'A': 'per:date_of_death', 'B': 'per:date_of_birth', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'no_relation'}",no_relation
3254,A,F,"Determine which option can be inferred from the given Sentence.  Sentence: Java/Groovy Developer Hans Dockter , Founder and Project Lead of Gradle Jeff Brown , Core Member of the Grails Development Team Jeremy Grelle , Lead of the Spring Faces Project Joseph Nusairat , Co-Author of Beginning Groovy & Grails Juergen Hoeller , co-founder of the Spring Framework Project Keith Donald , Lead of Spring Web and Creator of Spring Web Flow Ken Sipe , Technology [Director] , Perficient , Inc. ( PRFT ) [Mark Fisher] , Spring Integration Lead Mark Thomas , Senior Software Engineer , SpringSource . Options: A. [Mark Fisher] is a [Director] B. [Mark Fisher] has the religion [Director] C. [Mark Fisher] has the age [Director] D. [Mark Fisher] died because of [Director] E. [Mark Fisher] is convicted of [Director] F. [Mark Fisher] has no known relations to [Director]  Which option can be inferred from the given Sentence? Option:",F,"['A', 'B', 'C', 'D', 'E', 'F']","{'A': 'per:title', 'B': 'per:religion', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'per:charges', 'F': 'no_relation'}",no_relation
3255,C,F,"Determine which option can be inferred from the given Sentence.  Sentence: Gonzalez , an attorney , was kidnapped from his office Oct. 21 -- less than three weeks after his sister [Patricia Gonzalez] stepped down as Chihuahua state 's attorney general due to a change of [governor] . Options: A. [Patricia Gonzalez] is a [governor] B. [Patricia Gonzalez] has the religion [governor] C. [Patricia Gonzalez] has the age [governor] D. [Patricia Gonzalez] died because of [governor] E. [Patricia Gonzalez] is convicted of [governor] F. [Patricia Gonzalez] has no known relations to [governor]  Which option can be inferred from the given Sentence? Option:",F,"['A', 'B', 'C', 'D', 'E', 'F']","{'A': 'per:title', 'B': 'per:religion', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'per:charges', 'F': 'no_relation'}",no_relation
3256,A,C,Determine which option can be inferred from the given Sentence.  Sentence: Just got banned from [Loose Change] forum [now] . Options: A. [Loose Change] dissolved in [now] B. [Loose Change] was founded in [now] C. [Loose Change] has no known relations to [now]  Which option can be inferred from the given Sentence? Option:,C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
3257,E,E,"Determine which option can be inferred from the given Sentence.  Sentence: Specifically , the new pay guidelines are looking to put an end to the sort of golden parachutes that have allowed chiefs of the failed [Countrywide Financial Corp.] , the soon-to-merge Merrill Lynch & amp ; Co. , and wobbly [Citigroup Inc.] to walk away with packages worth hundreds of millions of dollars , despite having been at the helm when the companies faltered . Options: A. [Countrywide Financial Corp.] is also known as [Citigroup Inc.] B. [Countrywide Financial Corp.] has the member [Citigroup Inc.] C. [Countrywide Financial Corp.] is the member of [Citigroup Inc.] D. [Countrywide Financial Corp.] has shares hold in [Citigroup Inc.] E. [Countrywide Financial Corp.] has no known relations to [Citigroup Inc.]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",no_relation
3258,C,D,"Determine which option can be inferred from the given Sentence.  Sentence: [Less than two hours] before the appointed time on that day , [he] apparently writes : '' I wish life could be better for all and the crazy world can somehow run smoother . Options: A. [he] has the age [Less than two hours] B. [he] has birthday on [Less than two hours] C. [he] died in the date [Less than two hours] D. [he] has no known relations to [Less than two hours]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",no_relation
3259,C,I,"Determine which option can be inferred from the given Sentence.  Sentence: Jones called her father in [Texas] , who called [his] representative in Congress , Republican Ted Poe . Options: A. [his] lives in the state or province [Texas] B. [his] is the employee of [Texas] C. [his] was born in the state or province [Texas] D. [his] died in the state or province [Texas] E. [his] lives in the city [Texas] F. [his] died in the city [Texas] G. [his] was born in the country [Texas] H. [his] was born in the city [Texas] I. [his] has no known relations to [Texas]  Which option can be inferred from the given Sentence? Option:",I,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']","{'A': 'per:stateorprovinces_of_residence', 'B': 'per:employee_of', 'C': 'per:stateorprovince_of_birth', 'D': 'per:stateorprovince_of_death', 'E': 'per:cities_of_residence', 'F': 'per:city_of_death', 'G': 'per:country_of_birth', 'H': 'per:city_of_birth', 'I': 'no_relation'}",no_relation
3260,A,H,"Determine which option can be inferred from the given Sentence.  Sentence: '' We must wage jihad against the American , NATO forces ( in Afghanistan ) and their cohorts in [Pakistan] who are part of the conspiracy against Muslims and our own country , '' [he] told the crowd . Options: A. [he] lives in the country [Pakistan] B. [he] has the nationality [Pakistan] C. [he] is the employee of [Pakistan] D. [he] was born in the country [Pakistan] E. [he] died in the country [Pakistan] F. [he] lives in the city [Pakistan] G. [he] died in the city [Pakistan] H. [he] has no known relations to [Pakistan]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:countries_of_residence', 'B': 'per:origin', 'C': 'per:employee_of', 'D': 'per:country_of_birth', 'E': 'per:country_of_death', 'F': 'per:cities_of_residence', 'G': 'per:city_of_death', 'H': 'no_relation'}",no_relation
3261,C,C,Determine which option can be inferred from the given Sentence.  Sentence: The evidence in [John Graham] 's case is hearsay and an [attack] on the First Nations People . Options: A. [John Graham] is convicted of [attack] B. [John Graham] died because of [attack] C. [John Graham] has no known relations to [attack]  Which option can be inferred from the given Sentence? Option:,C,"['A', 'B', 'C']","{'A': 'per:charges', 'B': 'per:cause_of_death', 'C': 'no_relation'}",no_relation
3262,H,H,"Determine which option can be inferred from the given Sentence.  Sentence: Lou spent hours on that bedroom floor , playing the board game Life with [Alan Gross] , [his] childhood buddy who lived one floor up . Options: A. [Alan Gross] is the identity/pronoun of [his] B. [Alan Gross] and [his] are the same person C. [Alan Gross] is the parent of [his] D. [Alan Gross] is the spouse of [his] E. [Alan Gross] is the siblings of [his] F. [Alan Gross] is the other family member of [his] G. [Alan Gross] has the parent [his] H. [Alan Gross] has no known relations to [his]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
3263,H,H,"Determine which option can be inferred from the given Sentence.  Sentence: While he was at Berkeley as a Packard fellow , Lange met another Packard fellow , [Frances Arnold] , a chemical engineer , who had attended Princeton and Berkeley when he did , but whom [he] had never met before then . Options: A. [he] is the identity/pronoun of [Frances Arnold] B. [he] and [Frances Arnold] are the same person C. [he] is the parent of [Frances Arnold] D. [he] is the spouse of [Frances Arnold] E. [he] is the siblings of [Frances Arnold] F. [he] is the other family member of [Frances Arnold] G. [he] has the parent [Frances Arnold] H. [he] has no known relations to [Frances Arnold]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
3264,C,E,"Determine which option can be inferred from the given Sentence.  Sentence: [PDA] , The Progressive Democrats of America , works creatively inside and outside the [Democratic Party] . Options: A. [PDA] is also known as [Democratic Party] B. [PDA] has the member [Democratic Party] C. [PDA] is the member of [Democratic Party] D. [PDA] has shares hold in [Democratic Party] E. [PDA] has no known relations to [Democratic Party]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",no_relation
3265,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: In [November] , [ShopperTrak] estimated that foot traffic for the entire holiday shopping season would decline about 10 percent from last year . Options: A. [ShopperTrak] dissolved in [November] B. [ShopperTrak] was founded in [November] C. [ShopperTrak] has no known relations to [November]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
3266,E,E,Determine which option can be inferred from the given Sentence.  Sentence: Wachovia Bank and Bank of America managed $ 400 million of Chicago transportation note sales in 2009 and 2010 to cover delayed state funds even though [Wachovia] 's parent Wells Fargo and [Countrywide] have been sued by Illinois for steering minority borrowers to subprime loans . Options: A. [Countrywide] is also known as [Wachovia] B. [Countrywide] has the member [Wachovia] C. [Countrywide] is the member of [Wachovia] D. [Countrywide] has shares hold in [Wachovia] E. [Countrywide] has no known relations to [Wachovia]  Which option can be inferred from the given Sentence? Option:,E,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",no_relation
3267,B,D,Determine which option can be inferred from the given Sentence.  Sentence: [Chang Chih-yuan] wins 2010 [NTSO] conducting contest Options: A. [NTSO] was founded by [Chang Chih-yuan] B. [NTSO] has the high level member [Chang Chih-yuan] C. [NTSO] has shares hold in [Chang Chih-yuan] D. [NTSO] has no known relations to [Chang Chih-yuan]  Which option can be inferred from the given Sentence? Option:,D,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",no_relation
3268,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: The Xinjiang branch of [China Charity Federation] said Saturday it had received 2.03 million yuan ( [297,218] U.S. dollars ) in donation from all walks of life for victims in the Urumqi riot . Options: A. [China Charity Federation] has the number of employees [297,218] B. [China Charity Federation] has the website [297,218] C. [China Charity Federation] has no known relations to [297,218]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:number_of_employees/members', 'B': 'org:website', 'C': 'no_relation'}",no_relation
3269,C,H,"Determine which option can be inferred from the given Sentence.  Sentence: [He] is wanted in the U.S. state of Vermont and in Canada for allegedly smuggling illegal immigrants and in the U.S. city of [Philadelphia] for purported probation violations related to fraud charges , according to the U.S. Immigration and Customs Enforcement . Options: A. [He] is the employee of [Philadelphia] B. [He] died in the city [Philadelphia] C. [He] lives in the city [Philadelphia] D. [He] was born in the city [Philadelphia] E. [He] has the nationality [Philadelphia] F. [He] lives in the state or province [Philadelphia] G. [He] lives in the country [Philadelphia] H. [He] has no known relations to [Philadelphia]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:employee_of', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'per:city_of_birth', 'E': 'per:origin', 'F': 'per:stateorprovinces_of_residence', 'G': 'per:countries_of_residence', 'H': 'no_relation'}",no_relation
3270,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Photos Victim : Gang [Rape] Cover-Up by U.S. , Halliburton/KBR [Jamie Leigh Jones] , now 22 , says that after she was raped by multiple men at a KBR camp in the Green Zone , the company put her under guard in a shipping container with a bed and warned her that if she left Iraq for medical treatment , she 'd be out of a job . Options: A. [Jamie Leigh Jones] died because of [Rape] B. [Jamie Leigh Jones] is convicted of [Rape] C. [Jamie Leigh Jones] has no known relations to [Rape]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'per:cause_of_death', 'B': 'per:charges', 'C': 'no_relation'}",no_relation
3271,D,D,"Determine which option can be inferred from the given Sentence.  Sentence: The questioner also prompted Mario Gonzalez into saying that [his] sister ordered several killings in Ciudad Juarez , where drug-gang violence has claimed more than [6,500] lives over the past three years . Options: A. [his] has the age [6,500] B. [his] has birthday on [6,500] C. [his] died in the date [6,500] D. [his] has no known relations to [6,500]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",no_relation
3272,H,H,"Determine which option can be inferred from the given Sentence.  Sentence: [Berne] has his chance to slash and sprawl , while [Alessi] bores down on close details . Options: A. [Alessi] is the identity/pronoun of [Berne] B. [Alessi] and [Berne] are the same person C. [Alessi] is the parent of [Berne] D. [Alessi] is the spouse of [Berne] E. [Alessi] is the siblings of [Berne] F. [Alessi] is the other family member of [Berne] G. [Alessi] has the parent [Berne] H. [Alessi] has no known relations to [Berne]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
3273,C,I,"Determine which option can be inferred from the given Sentence.  Sentence: The questioner also prompted Mario Gonzalez into saying that [his] sister ordered several killings in [Ciudad Juarez] , where drug-gang violence has claimed more than 6,500 lives over the past three years . Options: A. [his] lives in the state or province [Ciudad Juarez] B. [his] is the employee of [Ciudad Juarez] C. [his] was born in the city [Ciudad Juarez] D. [his] lives in the city [Ciudad Juarez] E. [his] died in the city [Ciudad Juarez] F. [his] was born in the state or province [Ciudad Juarez] G. [his] lives in the country [Ciudad Juarez] H. [his] has the nationality [Ciudad Juarez] I. [his] has no known relations to [Ciudad Juarez]  Which option can be inferred from the given Sentence? Option:",I,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']","{'A': 'per:stateorprovinces_of_residence', 'B': 'per:employee_of', 'C': 'per:city_of_birth', 'D': 'per:cities_of_residence', 'E': 'per:city_of_death', 'F': 'per:stateorprovince_of_birth', 'G': 'per:countries_of_residence', 'H': 'per:origin', 'I': 'no_relation'}",no_relation
3274,A,F,"Determine which option can be inferred from the given Sentence.  Sentence: [Lomax] shares a story about Almena Lomax , his mother and a newspaper owner and [journalist] in Los Angeles , taking her family on the bus to Tuskegee , Ala. , in 1961 . Options: A. [Lomax] is a [journalist] B. [Lomax] has the religion [journalist] C. [Lomax] has the age [journalist] D. [Lomax] died because of [journalist] E. [Lomax] is convicted of [journalist] F. [Lomax] has no known relations to [journalist]  Which option can be inferred from the given Sentence? Option:",F,"['A', 'B', 'C', 'D', 'E', 'F']","{'A': 'per:title', 'B': 'per:religion', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'per:charges', 'F': 'no_relation'}",no_relation
3275,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: The [TPI] Index , which measures commercial contracts greater than $ 25 million , showed [141] contracts signed during the quarter . Options: A. [TPI] has the number of employees [141] B. [TPI] has the website [141] C. [TPI] has no known relations to [141]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:number_of_employees/members', 'B': 'org:website', 'C': 'no_relation'}",no_relation
3276,B,H,Determine which option can be inferred from the given Sentence.  Sentence: Italian Foreign Minister Franco Frattini had earlier confirmed [Vagni] 's release and passed on [his] '' gratitude to the Philippine authorities . '' Options: A. [Vagni] is the identity/pronoun of [his] B. [Vagni] and [his] are the same person C. [Vagni] is the parent of [his] D. [Vagni] is the spouse of [his] E. [Vagni] is the siblings of [his] F. [Vagni] is the other family member of [his] G. [Vagni] has the parent [his] H. [Vagni] has no known relations to [his]  Which option can be inferred from the given Sentence? Option:,H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
3277,C,D,"Determine which option can be inferred from the given Sentence.  Sentence: Piedra reported to the IRS [he] contributed more than $ 270,000 to Scientology groups that [year] , more than half his personal income . Options: A. [he] has the age [year] B. [he] has birthday on [year] C. [he] died in the date [year] D. [he] has no known relations to [year]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",no_relation
3278,D,E,"Determine which option can be inferred from the given Sentence.  Sentence: Earlier this week [Jakarta] hosted the general assembly of the [Organisation of Asia-Pacific News Agencies] , during which Antara signed cooperation agreements with its Turkish and Azerbaijani counterparts . Options: A. [Organisation of Asia-Pacific News Agencies] has a branch in the city [Jakarta] B. [Organisation of Asia-Pacific News Agencies] has the member [Jakarta] C. [Organisation of Asia-Pacific News Agencies] has a branch in the state or province [Jakarta] D. [Organisation of Asia-Pacific News Agencies] has a branch in the country [Jakarta] E. [Organisation of Asia-Pacific News Agencies] has no known relations to [Jakarta]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:city_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:country_of_branch', 'E': 'no_relation'}",no_relation
3279,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Sources with the [National Development and Reform Commission] said on Wednesday that between January and [April] , the nonferrous metal industry recorded 29.4 billion yuan ( 3.8 billion U.S. dollars ) in fixed-assets investment , up 48 percent over the same period of last year . Options: A. [National Development and Reform Commission] dissolved in [April] B. [National Development and Reform Commission] was founded in [April] C. [National Development and Reform Commission] has no known relations to [April]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
3280,A,D,"Determine which option can be inferred from the given Sentence.  Sentence: The governor of Punjab province , where [Bibi] has been in jail for [more than a year] , said he had forwarded a petition presenting the facts of the case to President Asif Ali Zardari on Monday . Options: A. [Bibi] has the age [more than a year] B. [Bibi] has birthday on [more than a year] C. [Bibi] died in the date [more than a year] D. [Bibi] has no known relations to [more than a year]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",no_relation
3281,F,F,"Determine which option can be inferred from the given Sentence.  Sentence: While he was at Berkeley as a Packard fellow , Lange met another Packard fellow , Frances Arnold , a [chemical engineer] , who had attended Princeton and Berkeley when he did , but whom [he] had never met before then . Options: A. [he] is a [chemical engineer] B. [he] has the religion [chemical engineer] C. [he] has the age [chemical engineer] D. [he] died because of [chemical engineer] E. [he] is convicted of [chemical engineer] F. [he] has no known relations to [chemical engineer]  Which option can be inferred from the given Sentence? Option:",F,"['A', 'B', 'C', 'D', 'E', 'F']","{'A': 'per:title', 'B': 'per:religion', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'per:charges', 'F': 'no_relation'}",no_relation
3282,H,H,"Determine which option can be inferred from the given Sentence.  Sentence: The interior minister , Roberto Maroni , said in a television interview Tuesday that [Nicastri] , 54 , was '' close to the Mafia boss [Matteo Messina Denaro] , currently at large . '' Options: A. [Matteo Messina Denaro] is the identity/pronoun of [Nicastri] B. [Matteo Messina Denaro] and [Nicastri] are the same person C. [Matteo Messina Denaro] is the parent of [Nicastri] D. [Matteo Messina Denaro] is the spouse of [Nicastri] E. [Matteo Messina Denaro] is the siblings of [Nicastri] F. [Matteo Messina Denaro] is the other family member of [Nicastri] G. [Matteo Messina Denaro] has the parent [Nicastri] H. [Matteo Messina Denaro] has no known relations to [Nicastri]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
3283,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: This year 's mart , which organized jointly by [PATA] and the Ministry of Culture and Tourism of Indonesia , also sees [4,294] square meters of net floor space occupied by sellers , an increase of 218 square meters from last year . Options: A. [PATA] has the number of employees [4,294] B. [PATA] has the website [4,294] C. [PATA] has no known relations to [4,294]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:number_of_employees/members', 'B': 'org:website', 'C': 'no_relation'}",no_relation
3284,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Among the macabre details divulged by police : they believe Bruno was in a home near Belo Horizonte home with [Samudio] last month at the time of her [murder] , and that her body was later cut into pieces , some of which were fed to dogs in a bid to cover the murder . Options: A. [Samudio] died because of [murder] B. [Samudio] is convicted of [murder] C. [Samudio] has no known relations to [murder]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'per:cause_of_death', 'B': 'per:charges', 'C': 'no_relation'}",no_relation
3285,C,C,Determine which option can be inferred from the given Sentence.  Sentence: com The Criminal Court [Wednesday] acquitted Prachai Leophairatana and his four younger siblings of siphoning off 956.8 million baht from Thai Petrochemical Industry Plc ( [TPI] ) when the company underwent rehabilitation . Options: A. [TPI] dissolved in [Wednesday] B. [TPI] was founded in [Wednesday] C. [TPI] has no known relations to [Wednesday]  Which option can be inferred from the given Sentence? Option:,C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
3286,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: The [IRS] is listed as one of [Piedra] 's creditors , claiming he owes back taxes and interest of $ 277,285 dating to 2005 . Options: A. [Piedra] is the employee of [IRS] B. [Piedra] studied in [IRS] C. [Piedra] has no known relations to [IRS]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",no_relation
3287,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Jim Edwards , the culinary director at [Chef Central] in Paramus and a close friend of [Cerniglia] 's for the last seven years , said he thought his friend benefited from being on Ramsay 's show . Options: A. [Cerniglia] is the employee of [Chef Central] B. [Cerniglia] studied in [Chef Central] C. [Cerniglia] has no known relations to [Chef Central]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",no_relation
3288,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: [Jamie Jones] is free to file criminal charges in her home State against the [Govt] , and/or individuals . Options: A. [Jamie Jones] is the employee of [Govt] B. [Jamie Jones] studied in [Govt] C. [Jamie Jones] has no known relations to [Govt]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",no_relation
3289,H,H,"Determine which option can be inferred from the given Sentence.  Sentence: The Abu Sayyaf militants are constantly moving 63-year-old [Eugenio Vagni] in the jungles of Jolo Island , to evade military and police rescue efforts , marine spokesman Lt. Col. [Edgard Arevalo] said . Options: A. [Eugenio Vagni] is the identity/pronoun of [Edgard Arevalo] B. [Eugenio Vagni] and [Edgard Arevalo] are the same person C. [Eugenio Vagni] is the parent of [Edgard Arevalo] D. [Eugenio Vagni] is the spouse of [Edgard Arevalo] E. [Eugenio Vagni] is the siblings of [Edgard Arevalo] F. [Eugenio Vagni] is the other family member of [Edgard Arevalo] G. [Eugenio Vagni] has the parent [Edgard Arevalo] H. [Eugenio Vagni] has no known relations to [Edgard Arevalo]  Which option can be inferred from the given Sentence? Option:",H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",no_relation
3290,C,H,Determine which option can be inferred from the given Sentence.  Sentence: Reviewer 's Bio : [Wayne A. Holst] is a writer who teaches at the University of Calgary and at St. David 's United Church in [Calgary] . Options: A. [Wayne A. Holst] is the employee of [Calgary] B. [Wayne A. Holst] died in the city [Calgary] C. [Wayne A. Holst] lives in the city [Calgary] D. [Wayne A. Holst] was born in the city [Calgary] E. [Wayne A. Holst] has the nationality [Calgary] F. [Wayne A. Holst] lives in the state or province [Calgary] G. [Wayne A. Holst] lives in the country [Calgary] H. [Wayne A. Holst] has no known relations to [Calgary]  Which option can be inferred from the given Sentence? Option:,H,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:employee_of', 'B': 'per:city_of_death', 'C': 'per:cities_of_residence', 'D': 'per:city_of_birth', 'E': 'per:origin', 'F': 'per:stateorprovinces_of_residence', 'G': 'per:countries_of_residence', 'H': 'no_relation'}",no_relation
3291,E,E,Determine which option can be inferred from the given Sentence.  Sentence: · Certified [Oracle] Developer · Experience using JDeveloper 9i and 10g or [ADF] · Development experience in HP 's PPM framework · Practical experience in java Options: A. [ADF] is also known as [Oracle] B. [ADF] has the member [Oracle] C. [ADF] is the member of [Oracle] D. [ADF] has shares hold in [Oracle] E. [ADF] has no known relations to [Oracle]  Which option can be inferred from the given Sentence? Option:,E,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",no_relation
3292,C,C,Determine which option can be inferred from the given Sentence.  Sentence: [2007] [NTSO] music festival to launch Oct. 6 Options: A. [NTSO] dissolved in [2007] B. [NTSO] was founded in [2007] C. [NTSO] has no known relations to [2007]  Which option can be inferred from the given Sentence? Option:,C,"['A', 'B', 'C']","{'A': 'org:dissolved', 'B': 'org:founded', 'C': 'no_relation'}",no_relation
